item_id,host_id,user_id,review_id,title,username,clean_no_stopwords,sentiment_score
EX01,HO67,US01,RV01,A'moss,Jee Onn Mah,"3 2 25 day celebrated 1 year wedding anniversary, beautiful room quiet place. Today moved review forgot review day. hahaha, going place bit difficult get satisfied",0.8422
EX01,HO67,US02,RV02,A'moss,JC,"fantastic place go want get away bustling city life. Amoss let peaceful experience amongst land, feeling free emails phone calls Neverending work. staff",0.8979
EX01,HO67,US03,RV03,A'moss,Elli LIH,great place glamping lovers. accommodation design unique simple. Suitable like fresh nature. room bathroom clean comfortable. want something different encouraged try best,0.9779
EX01,HO67,US04,RV04,A'moss,Zulhairi Aizad,"calming, cold, clean place spotless even single ant around. staff friendly helpful, food okay, overall atmosphere relaxing. road get okay, issues.",0.9381
EX01,HO67,US05,RV05,A'moss,Nurulilham Shabudin,"Absolutely mesmerising view! already twice wait come back again. scenery breathtaking, whole experience perfect service dome overall management. incredibly",0.7901
EX01,HO67,US06,RV06,A'moss,Sue Anne Tan,"Amazing place!!! air fresh cool, scenery great!! owner friendly helpful, swing nice farm. beautiful charming. Also please note steep mountain roads",0.9855
EX01,HO67,US07,RV07,A'moss,Muaz Yunos,"Amazing Stay moss Farmstay Even Better Second Time!This second time staying Amoss Farm Stay, must say",0.7901
EX01,HO67,US08,RV08,A'moss,Farhana Nana,"moss farmstay true gem amidst tourist hustle bustle Cameron Highlands.If looking peace quiet, middle real farm, surrounded",0.743
EX01,HO67,US09,RV09,A'moss,Nur Suhaira,"Unforgettable Escape Homely, Breathtaking, Truly Restful. stay Amoss Farmstay Diamond Dome 1 made absolutely perfect, give special shout Hassan. incredible host took",0.9531
EX01,HO67,US10,RV10,A'moss,Shushi Sean,"Bad experience day checkin owner call really shock hard voice phone yelling rude, 1st time stay lot places never get rude owner...",-0.8227
EX01,HO67,US11,RV11,A'moss,Manish Patel,beautiful place nature. domes comforts. cooking necessary tools. domes private bathrooms beds comfortable. really peaceful. functional management. view valley,0.9299
EX01,HO67,US12,RV12,A'moss,hi there,CATS!! Saw two stay fed whenver visited took pics blackout third day stay hour,0
EX01,HO67,US13,RV13,A'moss,Manpreet Kaur (MK KHALSA),Driving experience weak. room pretty super cold dawn till sunset. Service okay2 long patient. Location high next BOH cool sunrise view stand humid 13 weather,0.8958
EX01,HO67,US14,RV14,A'moss,Coffee,"one night stay place, pleasure enjoying beautiful natural scenery views. temperature breeze delightfully cool, creating soothing atmosphere.",0.9719
EX01,HO67,US15,RV15,A'moss,ZHI DAN,Everything perfect black out. Black 1 hour went ask staff even helpful blamed telephone service reach phone. Absolutely absurd.,0.5423
EX01,HO67,US16,RV16,A'moss,sarvaessh waran,Fantastic experience! site cozy chill. everything needed relaxing getaway. Love peaceful atmosphere surrounded beautiful nature. Host staff friendly helpful. Definitely unique unforgettable stay!,0.9817
EX01,HO67,US17,RV17,A'moss,Xy Leong,"love nature. Really recommended, choose dome 2 Last day honeymoon stay, really satisfied, view , place, service, sure come glasses dome, bring food dinner,",0.893
EX01,HO67,US18,RV18,A'moss,Steph Lee,"Getting wild ride literally! Twisty, narrow mountain roads us gripping seats grinning ear ear. teen called rollercoaster ride IG worthy views.",0.69
EX01,HO67,US19,RV19,A'moss,Take 5 Asia,"Glad found hidden gemThe rooms clean, cozy, charming rustic feel. Loved little details like outdoor seating spots farm added whole experience. hosts incredibly hospitable made sure comfortable throughout stay.Highly recommend farmstay looking unwind, slow down, enjoy simple joys nature. wait come back!I TRULY CANT WAIT NEXT STAY",0.9862
EX01,HO67,US20,RV20,A'moss,Bernice Laurie,"Good design dorms, get ready amount flies due location farm, really alot even inside room toilets everywhere.Kitchen almost zero equipment prepare ourself, charcoal bbq allow.Staffs cant communicate well english may take times owner reply hv enquiry.",0.3369
EX01,HO67,US21,RV21,A'moss,raja mohar,Great atmosphere awesome place.Most importantly service staff professional customer oriented.,0.8885
EX01,HO67,US22,RV22,A'moss,Arputha Raj,Great relaxing stay. Highly recommend calm environment million dollar view dome. would definitely come again. Amazing experience.,0.9593
EX01,HO67,US23,RV23,A'moss,Asyraf Haikal,"Great view and, course, cold. room could better. Toilet quite dirty came told worker, come clean it. expected, view makes cons place. note follow google Maps go place, might get lost.",0.4595
EX01,HO67,US24,RV24,A'moss,NUR AFIFAH,one best time here. peaceful. place lots thatt uhmm small flies bareable. staff owner helpful. U need bring foods drinks though like 3in1 food cause,0.9189
EX01,HO67,US25,RV25,A'moss,Mooi weng hou,lovely stayed last week. really relax enjoy view. cons drive Darmstadt mayb challenging especially peak period. Another spoiler sun rise sun set view blocked,0.8737
EX01,HO67,US26,RV26,A'moss,Scott Tian,"lovely stayed 3 1 birthday .. moment arrived check , service really exceptional top notch . surroundings simply breathtaking .. Atmosphere cooling peaceful. view",0.907
EX01,HO67,US27,RV27,A'moss,Fadzli Sohi,Honestly giving 2 star view. reasons 1. steamboat scam. first time got extra charged ordered 2 drinks additional ingredients. worker even inform,-0.0258
EX01,HO67,US28,RV28,A'moss,faz standalone,"stayed one night one mirror glass domes really nicely decorated super cosy, loved vibe.",0.8999
EX01,HO67,US29,RV29,A'moss,Isaac Song,went rooms available. thank Mr. Hamdi kind reception kind words. place wonderful best thing place road leading it. wonderful adventure.you really feel adventure.,0.9865
EX01,HO67,US30,RV30,A'moss,nami ka,"would give 4.7 stars could. booking, read older Google reviews bit nervous see conflicting comments.",-0.5859
EX01,HO67,US31,RV31,A'moss,m sfn,"would love visit again,But lil hard get cuz one way u go deeper inside",0.5859
EX01,HO67,US32,RV32,A'moss,Alfie Solomons,finally made way elusive glampsite reading bout years ago!It kind ticked boxes wanted experience location,-0.5244
EX01,HO67,US33,RV33,A'moss,Ili Aqilah Yus Amirul,thinking escape best place would recommend.1 Road really scary road drive. Ensure prepared,0.7102
EX01,HO67,US34,RV34,A'moss,Atiq Safian,"looking peaceful escape relax recharge, place perfect. Surrounded nature, calm, quiet, truly refreshing.",0.9403
EX01,HO67,US35,RV35,A'moss,syahirahz2023,"great experience stay here. location, bed, bathroom, perfect. give comfy bed blanket. curtain spacious private space well. also one staff really helpful friendly. definitely come back again.",0.9593
EX01,HO67,US36,RV36,A'moss,Sunshine12591939449,whole new experience. looking forward go vacation free hectic city life consider place. nature person sure fall love place.,0.8689
EX01,HO67,US37,RV37,A'moss,A. C.,"wonderful getaway. weather side rain except light drizzle went farm tour. memorable stay, accommodating management staff duty, Amin.",0.5719
